                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.45313,                0.41961,                0.58802,                0.77371,                0.83699,                0.79079,                0.90847,                0.81557,                0.83699,                0.79079,                0.90818,                0.56823,                0.39374,                0.36467,                0.60622,                0.77191,               0.001307,               0.001307,               0.001307
                     38,                0.44237,                0.40416,                0.58577,                0.77314,                0.82911,                0.81061,                0.91134,                0.81403,                0.82911,                0.81061,                0.91116,                0.56377,                0.40753,                0.39157,                0.60922,                0.77255,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.4441,                0.41548,                0.58858,                0.77236,                0.84722,                0.79396,                0.91187,                0.81366,                0.84611,                0.79292,                0.91015,                0.57754,                 0.3967,                0.38772,                0.60769,                0.77403,              0.0012674,              0.0012674,              0.0012674
                     40,                0.44156,                0.40406,                0.59222,                0.77348,                 0.8327,                 0.8179,                0.91232,                0.81973,                 0.8327,                 0.8179,                0.91203,                 0.5551,                0.39313,                0.39351,                0.58996,                0.77341,              0.0012476,              0.0012476,              0.0012476
                     41,                0.44426,                0.41401,                 0.5918,                0.77272,                0.84807,                0.80749,                 0.9154,                0.81266,                0.84807,                0.80749,                0.91514,                0.54505,                0.39976,                0.37117,                0.59925,                0.77333,              0.0012278,              0.0012278,              0.0012278
                     42,                0.44253,                0.41407,                0.58581,                0.77256,                0.83068,                0.82193,                0.91621,                0.82883,                0.83068,                0.82193,                0.91528,                0.57894,                0.37763,                0.35579,                0.58425,                0.77014,               0.001208,               0.001208,               0.001208
                     43,                0.43545,                0.40502,                0.58546,                0.77067,                0.83473,                0.82102,                0.91529,                0.82451,                0.83473,                0.82102,                0.91503,                 0.5694,                0.37144,                0.37941,                0.60235,                0.77192,              0.0011882,              0.0011882,              0.0011882
                     44,                0.43502,                0.39075,                0.57406,                0.77103,                0.81781,                0.82726,                0.91445,                0.82017,                0.81781,                0.82726,                0.91344,                 0.5716,                0.37806,                0.35302,                0.59334,                0.77138,              0.0011684,              0.0011684,              0.0011684
                     45,                0.42025,                0.39868,                0.56605,                0.77093,                0.84007,                0.80348,                0.91226,                0.81839,                0.84007,                0.80348,                0.91182,                0.57675,                0.37876,                0.37765,                0.59774,                0.77106,              0.0011486,              0.0011486,              0.0011486
                     46,                0.42071,                0.40633,                0.56592,                0.77262,                0.82548,                0.80541,                0.91084,                 0.8237,                0.82548,                0.80541,                0.91029,                0.57469,                 0.3693,                0.35401,                0.58223,                 0.7714,              0.0011288,              0.0011288,              0.0011288
